GENERO,DESCRICAO
MATERIAL PARA CONSTRUCAO,ASSENTO PLAST ALMOF SUAVIT BRANCO TIGRE PC
SIMILAR,IBUPRIL 300MG 20 COMP(IBUPRO 103 CX
MATERIAL PARA ESCRITORIO E ESCOLAR,BLOCO TILIBRA RECIBO ALUGUEL CANHOTO-50F BL
CORPO,DA BI-O 48H FEM 150ML CLARIFY
PRODUTO FARMACEUTICO,FD POMPOM PROTEK BABY G26
SIMILAR,NEUTROFER FOLICO FLAC20 CX
PRODUTO DE HIGIENE,CRM DENTAL COLGATE SENS PRO 107 BG
ALIMENTO PARA ANIMAL,WHISKAS 290G LT ADULTO PEIXE PATE 10121871
LACTICINIO,MARG CLAYB SABOR SAUDE 500G 8182 1
ELETROPORTATEIS,LIQUIDIFICADOR MONDIAL NL-26 POWER 2I 2V 220V
ACESSORIO PARA BELEZA,CORTADOR DE UNHAS UNHEX P M 104
SIMILAR,DORICIN CX C/240 CMP
PRODUTO PARA CONSERVACAO,SELADOR ACRILICO EUCATEX 18LT LT
PRODUTO FARMACEUTICO,LUBRIFIC GEL BIOMATIKA 90G MEN
CORPO,DESOD DOVE AEROSOL 1X100G AP BEAUTY FINISH R919962
SIMILAR,PANTOCAL 40MG CPD C14 CX
CORPO,SB PALM SUAVE 12X150G OLEO DE ARGAN DZ
CABELO,MURIEL BABY SH 100ML AZ
PRODUTO DE LIMPEZA,AGUA SANITARIA 1000ML C/12 DRAGAO CX
SIMILAR,SIBLIMA 6015MG 24 COMP 101 CX
GENERICO,AMPICILINA 500MG CPD24 GNEMS + CX
BRINQUEDO,CAMINHONETE NAVAJO 6046
ALIMENTO CONDIMENTADO,SOPA VONO BATATA C/ CARNE 18GR
SIMILAR,NACTALI 75MG CPD/28
ENERGETICO,FLYING HORSE PET ENERGETICO 1LT
SIMILAR,TARFIC 1,0 MG POM 10G
BISCOITO,BISC.WAFER CHOCOLATE BONSABOR 30X100GR CX
GENERICO,HIDROCLOROTIAZIDA 25MG 30 COMP GEN
GENERICO,ATENOLOL 50MG CPD30 GNEMS
PRODUTO DESCARTAVEL,FILTRO PAPEL 3 CORACOES 102 C/30
SIMILAR,GERIATON DRG30 CX
UNHAS,ESMALTE RISQUE GRANULADO ROS 102
ELETROPORTATEIS,MASSAGEADOR PAGUE MENOS MS 400 110V
UTENSILIO DE LIMPEZA,PANO DE CHAO ALGOBOM
FRUTA,MANGA COITE KG KG1
REFERENCIA,GUTTALAX GTS 20ML FR
GENERICO,GEN IVERMECTINA 6MG 2 COMP - 101
FRUTA,MORANGO NACIONAL CX C/1 KG BJ 250 GR
ISOTONICO,0000001437 - POWERADE MOUNTAIN BLAST CX6
MATERIAL PARA CONSTRUCAO,CIMENTO MASSA COLA SUPER AC2 USO EXTERNO QUARTZOLIT SC
LACTICINIO,REQ ITACOLOMY LIGHT 200G CX 12
PRODUTO FARMACEUTICO,COREGA ULTRA CREME SS 19G 101 BG
OUTROS MEDICAMENTOS,MEL COMP WENZEL PROALHCOPROM250G
REFERENCIA,SINERGEN 510MG CAPS C30 CX
LEITE,LEITE LIQ BETANIA INTEGRAL 1L CX/12 CX
SIMILAR,LUVOX 50MG 30 COMP - C1 101 CX
TIPO DE GRAO,MILHO PIPOCA P/MICRO MANT YOKI 100G 1
PRODUTO DE HIGIENE,CR DTL CLOSE UP PLATINUM WHITE 70G
SIMILAR,OLEO ALHO CAPS45 HERBARIUM CX
VERDURA E LEGUME,CEBOLA AMARELA KG
PRODUTO DE FLORICULTURA,MACO DE ROSAS VARIADAS 50CM UND
CERVEJA,CERV.SKOL LT 350ML(E) BD12
LACTICINIO,KIBON POTE CREME 4X2LT CREME 2LT CX
FARINHA E AMIDO,FARINHA MAND AMARELA FIBRA 1KG FD10
REFERENCIA,DESONOL POMADA 30G BG
CABELO,NIELY TINT COR E TON 6.0 LOURO ESC 125 GR Q601
PRODUTO DE HIGIENE,JOHNSON ED REACH L2P1 MD40 COM
CORPO,DA REXONA MEN 48H 90G ANTIBACT
PRODUTO FARMACEUTICO,COTONETE JEJ 150HT 103
TIPO DE MOVEIS,PAN ITATIAIA DUPL IPLP52 ESSENC NAT BCO PC
CABELO,TINT CORTON PRETO AZUL 10 50G
TEMPERO,SAZON FLOPPY VERDE 12X60G DZ
CARNE BOVINA,CARNE MOIDA CONG.GOSTOSINHA 500G CX20
CABELO,CR MODEL BRYLCREEM ANTICASPA 80G BG
ALIMENTO CONDIMENTADO,KNORR SOPA CHC 60G CR CEBOLA
PRODUTO DE HIGIENE,LISTERINE CUIDADO TOTAL 250ML JOHN CX
CORPO,DA REXONA MEN 48H 90G EXTREME
PRODUTO DE HIGIENE,PLAX SOL BUC 250ML CLASSIC
CABELO,#TINT.COR&AMP;TON 6.7 CHOC.50G CD
REFERENCIA,MESACOL MMX 1200MG CPD/30
UTENSILIO DE LIMPEZA,RODO PLASTICO 40 CM
SIMILAR,VELIJA 30MG CP/30 P/C1
PRODUTO DE LIMPEZA,MULTI USO YPE 500ML NATUREZA CX12
PRODUTO FARMACEUTICO,CURAT BAND-AID HELLO KITTY 25UN JOHN CX
CORPO,SAB LIQ JEJ BABY HORA SONO 2 106 FR
REFRIGERANTE,SPRITE LATA 350ML
CABELO,TINT FLEURY CAST. ESC 3.0
UTENSILIO DE LIMPEZA,RODO BORRACHA DUPLA 40 CM REF 9054C BETTANIN
REFERENCIA,PYLORIPAC RETRAT CPD70 +
PRODUTO FARMACEUTICO,AGUA TERMAL VICHY 300ML
TEMPERO,SAL PIRAMIDE MOIDO IODADO FDO 1 X 10 1KG
PRODUTO DE LIMPEZA,SILICONE CARNU 12X100ML PT
ACESSORIO PARA BELEZA,ESC RICCA STY BLACK OVAL 245 .
PECA INTIMA,CALCINHA FIO DENTAL NUDE ABSOLUTO P.EAN :7899726929855
PRODUTO DE LIMPEZA,AGUA SANITARIA 5L AGEX
CORPO,SABONETE EVEN ERVA DOCE 90G DZ
GENERICO,OXCARBAZEPINA 600MG CP30GMEPC1
GENERICO,LOSARTANA POTASSICA 50MG CPD/30GN-T CX
LIVRO,E TUDO TAO SIMPLES
SIMILAR,KOMBIGLYZE XR 51000MG CPD30
CABELO,#CONDIC.PALM.NAT.CERA.FOR.350M CD
MISTURA PRONTA,MISTURA BOLO MILHO FLEISCHMANN (2100160) 450 GRS UND.C/1X450 GRS 7898409950889
PRODUTO DE LIMPEZA,GLADE GEL CITRUS 70G 1UND
CARNE DE AVE ,COXA/SOBRECOXA FRANGO CONG FRIATO KG
CAFE,CAFE NESCAFE MATINAL 100G
ALIMENTO EM CONSERVA,PALMITO PICADO SSOBERANO 300G
ACESSORIO PARA BELEZA,PREND CAB ELASTICO SMETAL 1 102
SIMILAR,REDOXON ZINCO 1G CPR EFERV 1X10-OUTROS
PECA INTIMA,CALCINHA BIQUINI COM LATERAIS FRANZIDAS BRANCO M.EAN :7899726958350
MATERIAL PARA CONSTRUCAO,FITA VEDA-ROSCA 18 X 50 RL
LACTICINIO,CREME DE LEITE UHT 200 G ITALAC
CERVEJA,CERV HEINEKEN GFA 600ML 1
MACARRAO,MACARRAO RICH SEMOLA ESPAGUETE 10X500G FA
MATERIAL PARA CONSTRUCAO,SIKA 1 LT.
CORPO,T.MONICA HUGG SB LQ 200ML SUAV
SIMILAR,NEOSALDINA DGR10 CX
CABELO,SHP FRUCTIS LISO ABSOLUTO 400ML
CORPO,SAB PROTEX ULTRA N-3 90G 107
PREPARACAO DE CARNE,LINGUICA TOSCANA FRIELLA KG
CARNE DE AVE ,FILEZ.PEITO FGO CONG.SADIA PC-1KG CX8
GENERICO,GEN LIDOCAINA POM DERM 25G 102 BG
SIMILAR,VASOPRIL PLUS 10MG25MG CPD C30 CX
PAO,TORRADA QUEIJO FD 12X130G FDO
BRINQUEDO,DOMINO CIA BRINK ADICAO MADEIRA 1020
GENERICO,GEN ALOPURINOL 100MG 30 COMP 102 CX
SIMILAR,AEROLIN NEBULES 2,5MG 20FLAC GSK CX
REFERENCIA,CARDIZEM 60MG 50CPR BOEH CX
MATERIAL PARA ESCRITORIO E ESCOLAR,COLA COLORIDA 04 CORES X 25GRS CX
PRODUTO DE HIGIENE,PAPEL HIG FLORAL C/8 60M PERFUMADO
ACESSORIO PARA BELEZA,TOUCA BANHO DAUF REUTILIZAVEL C2NV
MATERIAL PARA CONSTRUCAO,LIXA FERRO 036
BOMBONIERE,CH S VALSA SC
PRODUTO DE LIMPEZA,VEJA MULTI-USO 500ML LAVANDA C/ALCOOL FRA FR
TIPO DE FERRAMENTA,BROCA ACO RAPIDO 3/16 - IRWIN
CORPO,SB ASEPXIA 90G NEUTRO
OUTROS MEDICAMENTOS,MEL COMP WENZEL EXTR PROP HORT 250G
LEITE,LEITE NINHO INSTANT 12X400G DZ
REFERENCIA,CLINDOXYL CONTROL 50MG 45G 101 BG
MATERIAL PARA CONSTRUCAO,JOELHO SOLD PVC 40MM 90G KRONA PC
SIMILAR,CANDORAL CPD10 CX
TIPO DE TECIDO,IGOR DARK - TECIDO INDIGO ALGODAO 100% LARG 1,70 METROS M
SIMILAR,ENERGIL C 1G EFERV CPD10 D2 CX
PECA INTIMA,CALCINHA FIO DENTAL ACABAMENTO INVISIVEL SERENA G.EAN :7899558874422
REFERENCIA,PURAN T4 50MCG 28 COMP 101 CX
PARTE E PECA PARA VEICULO,FILTRO OLEO HYUNDAI HR 2.5 05/ KIA BONGO K2500/K2700 - PSL332 - 0,00% PC
MACARRAO,MAC NISSIN LAMEN 85G SUAVE CARNE CX50
SIMILAR,SOMALGINCARDIO 100MG CPD C32 D2
LIVRO,LIVRO EM 1A SERIE - FILOSOFIA E SOCIOLOGIA
MATERIAL PARA ESCRITORIO E ESCOLAR,CAD S.DOMING. C.D. 15X1 JORDANA 2X300FL
REFERENCIA,PEPSAMAR 20 X 10 COMP 102 CX
PRODUTO FARMACEUTICO,COTONETES J&J HASTES FLEX PT 150UN JOHN CX
CEREAL,CEREAL BAR BRIGADEIRO ZERO ACUC. 24X25G RITTER DP
CABELO,SH FLORA NENEM 1X100ML
PRODUTO DE HIGIENE,ESC J&J REACH ECO MAC 1UN JOHN CX
MATERIAL PARA ESCRITORIO E ESCOLAR,CLIPS ACC 1/0 CX C/ 100 UN GALV.
GENERICO,AMOXICILINA SUSP 500MG 5ML GNEMS +
PRODUTO FARMACEUTICO,ESPARADRAPO 10 X 4,5 C/CAPA ROL
VERDURA E LEGUME,HF.ABOBORA PAULISTA JACAR. GR 1 X 1 1G KG
PRODUTO DE HIGIENE,ESC. REACH ESSEN. JR
LACTICINIO,REQUEIJAO CREM BD 3.6 KG CORONATA
VINHO,VH CHI STA HELENA RESDO TTO C.SAUV 750ML
SIMILAR,BABYMED POMADA 45G ROSA (CIMED)
ARROZ,ARROZ PAI JOAO PARB.30X1 FD
MATERIAL PARA ESCRITORIO E ESCOLAR,COMPACTOR CANETA JET LUX BL C/4 01735
CARNE DE AVE ,FRANGO RESFRIADO CX25KG KG
MATERIAL ELETRICO,PILHA SONY ALC AA AM3B2 02 U 103
CABELO,COND DISNEY PRINC BRANCA NEVE 230ML
PRODUTO DE LIMPEZA,DET LIQ YPE COCO 24X500ML CX
ACESSORIO DE INFORMATICA,PEN DRIVE 8GB MULTILASER
SUCO,RFCO PO MARATA MORANGO 15X30GR
BOMBONIERE,BALA FRUTSY SORTIDA 24X600G CX
TIPO DE MOVEIS,ARM GELAD BASC BARTIRA SAFIRA PD IMB/BR PC
CABELO,OLEO CAP PANTENE 100ML
GENERICO,ROSUVAST 10MG CPD30 CX
CORPO,DES DOVE AER MEN 89G CLEAN COMF
PRODUTO DE LIMPEZA,AMAC CONFORT CONC 500 ML CRIA LIRIO
FARINHA E AMIDO,FARINHA SEMENTE CHIA CEIFEIRO 100G
UTENSILIO DE LIMPEZA,BALDE PLASTICO LUMAR
REFERENCIA,KELO COTE UV FPS30 15G
PRODUTO HOSPITALAR,CATETER NASAL OCULOS 1,40M 2807P OXIGENIO (490121)
ALIMENTO CONDIMENTADO,MAIONESE ODERICH BISNAGA 170G
MAQUIAGEM,AC U C QUARTETO SOMBRAS ESMERALDA
SIMILAR,REPOPIL (3X21) 63CPR (LEGRA)
LACTICINIO,LEITE PO ITAMBE PRECIOSO 200G PCT
MAQUIAGEM,C TREND KAJAL DELINEA E SOMBRA OLHOS AZUL CLAR
GENERICO,GEN GABAPENTINA 300MG 30 CAP
ALIMENTO CONDIMENTADO,ALIM INF NESTLE GAL LEG PEDACO 170G
LACTICINIO,DANONE GREGO ORIGINAL 400X12 CX
TIPO DE GRAO,MILHO PIPOCA MARATA 20X500GR FD
MISTURA PRONTA,PO P/SORVETE YOKI 1X150G CHOCOLATE
BISCOITO,RECHEADO BIG TURMA MORANGO 30X105G CX
PRODUTO DE LIMPEZA,HIGI CALCINHA SABAO 300ML .
CABELO,#SH.PALM.NAT.REN.POS QUIM.350M CD
MATERIAL PARA CONSTRUCAO,TRINCHA 395 1/2 ATLAS
FRUTA,AMEIXA ROSADA KG
CORPO,GOICOECHEA PELE SENSIVEL CR 400G
PERFUMARIA,DEO COL GELLUS L.ORVALLE 100ML
CABELO,COND MASC MATIZADOR 250G FATTORE
REFERENCIA,COVERSYL PLUS CPD/30
FEIJAO,FEIJAO KICALDO PRETO T.1 FDO 1 X 10 1KG
UTENSILIO PARA O LAR,GARRAFA TERM ALADDIN CONTINENTAL VERDE/VERM/PTO 1L R3532
CABELO,SKALA CR HID 1KG ABACATE*
LACTICINIO,PURELAC CULINARIA 1287 1KG
ROSTO,MALBEC ESPUMA BARBEAR 200ML VS3
CABELO,TRESEMME PROF CO 400ML QUERATI
PRODUTO FARMACEUTICO,PROT.CAREFREE NEUTRAL S/PERF 40UND
REFRIGERANTE,REFRI CAJUINA S GERALDO 2L
ALIMENTO CONDIMENTADO,NESTLE PAPINHA CARNE C/ LEGUMES 6X115GBR CX
CEREAL,BC NUTRY CXT BANANA 3X22G PT
PRODUTO DE LIMPEZA,ALCOOL 1L 70 INPM SANTA CRUZ
GENERICO,GEN NAPROXENO 550MG 10 COMP 103 CX
BOMBONIERE,CHICLE ARCOR FLICS 1X208G HORTELA CX
CABELO,RP ALYNE 30ML HID INTEN
ROSTO,CLEANECLEAR GEL SECATIVO INV
GENERICO,CIT SILDENAFILA 25MG CPD/1 GN-EMS
PRODUTO DE LIMPEZA,PINHO SOL DESINF 500ML C/12 LI CX
PRODUTO FARMACEUTICO,NUTREN KIDS CHOCOLATE 350G
LACTICINIO,SUSTAGEN NUTRIFERRO CHOCOLATE 190 ML CXA.C/27X1 UND 7898946291988 CXA
PRODUTO DESCARTAVEL,SACO LIXO PRATIK D.A.50L 25X10 EE
CORPO,DA OLD SPICE 93G FRESH
REFERENCIA,BUSCOPAN COMPOSTO 20 DRG 106 CX
SUCO,REFR PO MID MARACUJA ENV 25G 1
MATERIAL PARA CONSTRUCAO,TRINCHA MEDIA TIGRE 695 2
SIMILAR,TETRACICLINA 500MG 100CAPS - TETRAMED (MEDQUIMICA) CX
GENERICO,DIMET(SIMET) 40MG CPD/20 GN-MEDLEY
PRODUTO FARMACEUTICO,PASTA DAGUA MENTOLADA AMORAVEL 135G FR
SIMILAR,SYNTHROID 75MCG CPD C/30 CX
BISCOITO,BISCOITO PIT STOP MISTO QUENTE 105,6 GRS PCT.C/1X105,6 GRS 7896003703207 PCT
LIVRO,CARTAS DE AMOR AOS MORTOS EX
SAPATILHA,SAPATILHA-00505-16 PAR
AGUA,0000900029 - AGUA SCHIN MINER C/GAS 0,30LPET 12UN PBR CX
MACARRAO,M. PAGANINI FETTUCCINE 500GR
CAFE,CAFE VACUO 250GR C/20 KIMIMO CX
UNHAS,ACETONA ALYNE 100ML NOVO FR
MATERIAL PARA ESCRITORIO E ESCOLAR,LAPIS BIC HEXAGONAL CX 12 UN PIJAMA
PRODUTO DE HIGIENE,CREME DENTAL SORRISO AZUL 90G
GENERICO,PARACT GTS 200MG/ML 15ML GEN
LACTICINIO,IOG.NESTLE NINHO POLPA 600G
SIMILAR,SINOT CLAV 875/125MG 14CPR * EURO CT
SIMILAR,GASTROGEL 20CP
SIMILAR,NEOPRAZOL 40MG 28 CAPS(OMEPR 102 CX
PRODUTO FARMACEUTICO,FRD ATIVA BABY XXG/6
FEIJAO,FEIJAO KICALDO PRETO 1KG KG
TIPO DE MOVEIS,ARM DALMOBILE VIENA BCO/PTO PC
PRODUTO DE LIMPEZA,LIMPADOR PERF UAU LAVANDA E CONFORTO 1X1000ML GRF
ALIMENTO CONDIMENTADO,CATCHUP 4X33KG DUSUL
SIMILAR,DIPIRONA-MAXALGINA XPE 100ML (NATUL)
PRODUTO FARMACEUTICO,#TALCO BARLA 140G CD
AVIAMENTO,LINHA 40 COR BRANCA (LINHANYL) KG
ELETROPORTATEIS,FERRO BRITANIA FB26 220V
MATERIAL PARA ESCRITORIO E ESCOLAR,BORRACHA FABER BRANCA 7040 C/40UN
PREPARACAO DE FRUTA,POLPA DE CAJA CANAA 5X1KG CX5KG
CERVEJA,CERV STELLA ARTOIS LONG NECK 275ML CX 24
CABELO,FLORA NENEN SH 100ML CACHEADOS
LACTICINIO,FRUTTARE MOUSSE LIMAO 22X73ML NE CX
SIMILAR,TROK CR 30GR EURO CT
AGUA,AGUA SCHIN C/GAS 500ML
CERVEJA,CERVEJA SKOL BEATS LONG NECK 24X330ML CX
PRODUTO DE LIMPEZA,AGUA SANITARIA 1L FC
PRODUTO PARA ANIMAL,COLEIRA TEA 327 CAO 13G
REFERENCIA,BUSCOPAN 20 DRG 106 CX
PRODUTO DE HIGIENE,LISTERINE ZERO 250ML
ALIMENTO PARA ANIMAL,ACC SBN SHIH TZU ADULT.24 1KG
MATERIAL PARA CONSTRUCAO,TINTA PO CERAMICA SUAVE FD20KG FD
SIMILAR,ALKAGEL MORANGO 240ML CX
SIMILAR,NOREGYNA/NORETISTERO 1AMP 1ML+SER CIFA CX
TEMPERO,PIM REINO EM PO LORD 12X60G CXA
ELETRODOMESTICO,REF CONSUL 239L CRC28F BC PC
REFERENCIA,GLIFAGE XR 500MG 30CPR MERC CX
PRODUTO DE LIMPEZA,DESINF.BAK YPE LAVANDA 2L
REFERENCIA,EXELON 3MG CAP28 PC1 CX
MATERIAL PARA ESCRITORIO E ESCOLAR,APONTADOR CIS QUAD. 1 FURO S2217 C/20UN
MEL,MEL ABELHA NECTAR FL 295G FR
MATERIAL PARA ESCRITORIO E ESCOLAR,CANETA COMPACTOR ECONOMIC CX 50 PRETA
SIMILAR,RIFOTRAT SPRAY 20ML (RIFAMICINA) (NATUL)
ACESSORIO ELETRONICO,CD-R MAXPRINT C/50 UNDS PN
MATERIAL PARA CONSTRUCAO,AREIA MEDIA DE BRITA TN
CORPO,DC RED APPLE 55G ERVA DOCE
AGUARDENTE,AGUARDENTE YPIOCA SPORT PRATA RET 48/190ML CXA
CORPO,CETAPHIL LOC HID 473ML 101 FR
CHINELO,SAND HAVAIANA COLOR PRETA 41/2 6X1 R090 PT
CAFE,CAFE PILAO VACUO PCT 1 X 1 250G
SIMILAR,NOEX 32MCG 120DS EURO CT
BOMBONIERE,CHOC BATOM BRANCO TABLETE 76G
PRODUTO DESCARTAVEL,COPO DESC MARATA 180ML 100UN PT
AGUA,AGUA SCHIN MIN S/GAS 0,50LPET DES12UNPBR
MATERIAL PARA ESCRITORIO E ESCOLAR,PASTA POLIBRAS TR SOFT 40MM LARG. 10UN
PRODUTO PARA CONSERVACAO,INSET.AER.MULTI SBP 6X450ML OF PT
SIMILAR,BISMU-JET GTS 20ML (LEGRA) CT
CHA,CHA HORTELA LINTEA CX 24/10G
REFRIGERANTE,PEPSI 3.3L 3,3L
VESTUARIO FEMININO,CAMISETA MEIA MALHA PENTEADA G BRANCO PC
CORPO,ESTOJO FLORATTA/GOLD CUIDADOS CORPO VS2
CORPO,THERACNE SAB LIQ 120ML CX
CORPO,SAB AVEIA DAVENE HID INTENSA 6X90G PT
CARNE BOVINA,CARNE DE SOL CHA DE FORA KG
ACESSORIO PARA VEICULO,M-SUPER 1000 X3 15W-40 PROTECTION 24X1L CX
FERRAGEM,CADEADO DE LATAO E-25
FRUTA,POMODORINHO TOMATE CEREJA PAGANINI 400G
CARNE DE AVE ,MEIO PEITO FGO PERDIGAO S/OSS S/PELE 1KG CX 12
CORPO,ASEPXIA SAB ADSTRIG CREMOSO 90G GENO CX
SIMILAR,OS-CAL 500MG 60 COMP 103 CX
GENERICO,GEN LORAZEPAM 2MG 20 COMP-B1 101 CX
CABELO,SH TRESEMME PROT TERMICA 400ML
AGUA,AGUA MINERAL NATURAGUA 500ML
MATERIAL PARA CONSTRUCAO,CORANTE LIQ.AMARELO 1 DUZIA CX
LIVRO,CJ-PORTA ABERTA - GEOGRAFIA-2O ANO
ALIMENTO CONDIMENTADO,MAIONESE HELLMANN S ECON. 24X200 CX
GENERICO,*LEVOFLOXACINO 500MG C/7 CMP // CX
REFERENCIA,TEGRETOL 400MG CP/20 P/C1 CX
PRODUTO FARMACEUTICO,MODEL SEIO LIB DESC 44 C2
PREPARACAO DE FRUTA,POLPA DE GOIABA CANAA 5X1KG CX5KG
PRODUTO FARMACEUTICO,FDA HUGGIES SUP.CARE MENINO JB M 24UND
CORPO,DES NIVEA ROLL-ON AQUA COOL 103
CABELO,COND CLEAR QUEDA DEFENSE 200ML
SIMILAR,PETIVIT B-C 240ML
ALIMENTO CONDIMENTADO,HELMANNS MOLHO SALADA ROSE 475ML
SAPATILHA,SAPATO COURO MET.MISTI MAT./MET.MISTI/MET.MISTI PEWTER INV2015 CATHERINE CAPODARTE REF. 4003066 PARES
SIMILAR,TARFIC 1MG POM 10G 103 BG
UNHAS,KIT MERHEJE ELITE MIX PROF 111 CT
UNHAS,ESM COLORAMA C 8ML ALG.DOCE CE
SIMILAR,NATIFA PRO CPD/28
PRODUTO DE LIMPEZA,SABAO BARRA UNO 200G C/5 AZUL
CABELO,TINT IND CR YAMA FASHION 60G 1.0 PTO(E)
RUM,RUM BACARDI LIMON GFA 750ML 1
ODONTOLOGICO,PRIME & BOND 2.1 4ML DENTSPLY
UTENSILIO PARA O LAR,CANTIL TERMICO ALADDIN 1X600ML VM/CZ
PRODUTO DE LIMPEZA,DET.LIQ.YPE 500ML CLEAR
CHA,CAPSULA TRES CHA CAPIM CIDREIRA 10X2,5
TENIS,TENIS-00202-23 PAR
PRODUTO DE CONFEITARIA,CHOCOLATE EM PO 24X200G CAIXA APTI
REFERENCIA,ATROVERAN COMPOSTO CPD/20
ACESSORIO PARA BELEZA,PINCA ENOX PONTA RETA C/1 674
CAFE,CAFE PRINCIPAL A VACUO 250G
FRUTA,HF.MACA RED IMPORT. GR 1 X 1 1G KG
TIPO DE MADEIRA,VIGA MACARANDUBA M3
OUTROS MEDICAMENTOS,MEL COMP DAUF EXTR PROP AGRIAO 300G
SIMILAR,TENSALIV (ANLODIPINO) 5MG 30CPR
CERVEJA,CERVEJA SCHIN LT 12X350ML DZ
MATERIAL PARA ARTESANATO,TINTA GUACHE KOALA 15ML C/6CORES
SIMILAR,HISTAMIX CPD12 CX
SIMILAR,VODOL PREVENTE S PERFUME 10 103
FARINHA E AMIDO,FLOCAO DE MILHO SAO BRAZ NOVOMILHO 500G
ALIMENTO EM CONSERVA,ERVILHA/MILHO QUERO LATA CXA 1 X 6 2KG
LACTICINIO,MARG PURO SABOR 12X500G CX
SIMILAR,NOEX 50MCG 200 DS 103 CX
SIMILAR,TORANTE 15MG 200ML 101 FR
PRODUTO DE LIMPEZA,AGUA SANITARIA BRILUX 5L
REFERENCIA,REPOFLOR 200MG 6 CAPS (LEGRA) CX
REFERENCIA,MOTILIUM 10MG CPD/90
FARINHA E AMIDO,FLOCOS MILHO VITAMILHO 2209 FDO 1 X 30 500G
MEDICAMENTO NAO CLASSIFICADO,GEN DEXCLOR+BETAMETASONA 20 104 CX
LACTICINIO,MARGARINA PURO SABOR BALDE 15KG
SIMILAR,ESTRADOT 100MCG 8 SIST 101 CX
CABELO,GEL GOLD FOR MEN FIXACAO ALT 101
MATERIAL PARA ESCRITORIO E ESCOLAR,GRAMPEADOR CIS PLUS LINE P/20FLS
MATERIAL ELETRICO,BATERIA 9V CT
PRODUTO DE LIMPEZA,LAVA AUTOS SPEED PROAUTO 500ML FRA FR
GENERICO,ATENOLOL+CLORT 100+25MGCPD60GNMED
ALIMENTO PRONTO,FEIJAO CARIOCA FUGINI PRONTO 250G SACHE
SIMILAR,CARDILOL 25MG CPD/60
CORPO,SB SENADOR PLATINUM 130G . DZ
PRODUTO DE LIMPEZA,LIMPADOR PERF UAU FLORES VERM SEDUCAO 1X500ML GRF
REFERENCIA,DIGEDRAT 200MG CPD60
ALIMENTO CONDIMENTADO,MAIONESE ODERICH BIS 170G
GENERICO,OMEPRAZOL 20MG CPS 1X14 MDL-GENERICO CX
REFERENCIA,FORASEQ 12/400MCG 60+60CAP NOVA CX
PRODUTO FARMACEUTICO,PROT DIA CAREFREE PROTECAOCPL60P50
PRODUTO DE LIMPEZA,AGUA SANITARIA OLIMPO 1LT CX12
SIMILAR,IBUPROFENO 300MG C/30 (BUPROVIL) (MULTILAB)
CABELO,TIN MARCIA CR 50G 3.0C/E
PRODUTO DE CONFEITARIA,GANACHE RICHS BRANCO 4KG BD
SIMILAR,HIXIZINE XPE 120ML 104 FR
ROSTO,EPIDRAT ULTRA 120G
PRODUTO FARMACEUTICO,HASTES FLEX YORK C/75 . DZ
CABELO,OC ELSEVE EXTRAORDIN 100ML LIS
SIMILAR,TENOXIL (TENOXICAM) 20MG 10COMP
PREPARACAO DE CARNE,HAMB PERDIGAO MISTO 36X56G
PRODUTO DE LIMPEZA,DESINF PINHO SOL CITRUS LMO 500ML 1
PRODUTO DE LIMPEZA,AMAC MON BIJOU BABY NANA NENEM 1L
PRODUTO PARA ANIMAL,K-OTHRINE SC 25 30ML CD
PRODUTO FARMACEUTICO,ALCOOL GEL ANTISSEPTICO ASEPTOL 140 ML
MATERIAL PARA ESCRITORIO E ESCOLAR,DUREX EUROCELL 12X10 COLORIDO C/10UN
PRODUTO PARA ANIMAL,BENZOCREOL 500ML CX C/24 (DESINFETANTE) LT
FARINHA E AMIDO,FARINHA TRIGO DONA BENTA 1KG S/FERMENTO UND
PRODUTO DE LIMPEZA,POLIDOR ALUM 500ML
ACESSORIO PARA BELEZA,PREND CAB ELASTICO COLOR SM 106
CERVEJA,CERV SKOL BEATS 313ML LN SENSES CX 24
TIPO DE PRODUTO,OLEO SINGER 100ML
TELEFONE FIXO,TERMINAL VX680 GPRS CONTACTLESS
PRODUTO DE HIGIENE,ESC DENTAL ORAL B INTERDENTA 106
PRODUTO DE LIMPEZA,DESINFETANTE EUCALIPTO 12X1LT CX
LEITE,LEITE UHT BETANIA 1LT INT
UTENSILIO PARA O LAR,GARRAFAO TERMICO ALADDIN 1X5L VERMELHO
SIMILAR,BRONFILIL XPE ADU 120ML 101 FR
PAPEL,PAPEL MADEIRA KRAFT SAO MIGUE 66X96 C100
CERVEJA,CERV PETRA PREMIUM LT 350ML CX 12
MATERIAL PARA CONSTRUCAO,TUBO PVC SOLDAVEL 32MM - 6M
TEMPERO,TEMP SABOR AMI COMP C/PIMENTA 300G 1
REFRIGERANTE,GUARANA SCHIN PET 250ML CX/12 CX
EQUIPAMENTO HOSPITALAR,APARELHO DE PRESSAO DIGITAL LP200
PRODUTO DE LIMPEZA,VANISH LIQUIDO 3L MULTIUSO FRA FR
PRODUTO FARMACEUTICO,FRALDA DESC.PICA PAU ECON. G C/20
PAO,PAO ARABE INTEGRAL 250G
PARTE E PECA PARA VEICULO,ROLAMENTO ALT 147/FIORINO/SPAZIO 1.3/1.5 L/RODA BOSCH - 6203-2Z/C3 - 0,00% PC
SIMILAR,OLMETEC HCT 20MG+12,5MG CPD/30
